time,altitude_m,v_down_m_s
2025-12-20T21:22:36.080745,41.09,-0.03
2025-12-20T21:22:36.131838,41.09,-0.03
2025-12-20T21:22:36.184108,41.09,0.16
2025-12-20T21:22:36.235250,41.07,0.67
2025-12-20T21:22:36.286580,41.02,1.14
2025-12-20T21:22:36.339261,40.97,1.49
2025-12-20T21:22:36.390518,40.86,2.04
2025-12-20T21:22:36.441589,40.77,2.37
2025-12-20T21:22:36.492396,40.63,2.8
2025-12-20T21:22:36.544591,40.52,3.1
2025-12-20T21:22:36.595295,40.32,3.57
2025-12-20T21:22:36.646029,40.12,4.0
2025-12-20T21:22:36.697116,39.96,4.31
2025-12-20T21:22:36.748286,39.69,4.82
2025-12-20T21:22:36.799307,39.5,5.14
2025-12-20T21:22:36.850413,39.22,5.58
2025-12-20T21:22:36.901190,39.0,5.9
2025-12-20T21:22:36.951993,38.62,6.42
2025-12-20T21:22:37.004118,38.38,6.73
2025-12-20T21:22:37.055426,38.01,7.1
2025-12-20T21:22:37.106264,37.56,7.39
2025-12-20T21:22:37.157600,37.28,7.49
2025-12-20T21:22:37.208981,36.82,7.58
2025-12-20T21:22:37.260569,36.59,7.61
2025-12-20T21:22:37.311285,36.12,7.66
2025-12-20T21:22:37.362749,35.83,7.69
2025-12-20T21:22:37.415239,35.42,7.72
2025-12-20T21:22:37.466307,34.94,7.75
2025-12-20T21:22:37.517161,34.64,7.76
2025-12-20T21:22:37.568162,34.21,7.78
2025-12-20T21:22:37.619116,33.85,7.79
2025-12-20T21:22:37.669954,33.42,7.8
2025-12-20T21:22:37.721247,33.11,7.8
2025-12-20T21:22:37.772535,32.68,7.81
2025-12-20T21:22:37.824174,32.38,7.81
2025-12-20T21:22:37.875158,31.89,7.82
2025-12-20T21:22:37.926348,31.45,7.82
2025-12-20T21:22:37.977046,31.15,7.82
2025-12-20T21:22:38.028300,30.65,7.83
2025-12-20T21:22:38.079363,30.35,7.83
2025-12-20T21:22:38.130289,29.91,7.83
2025-12-20T21:22:38.181572,29.6,7.84
2025-12-20T21:22:38.232634,29.11,7.84
2025-12-20T21:22:38.284777,28.8,7.84
2025-12-20T21:22:38.335860,28.3,7.85
2025-12-20T21:22:38.387481,27.87,7.85
2025-12-20T21:22:38.439582,27.56,7.85
2025-12-20T21:22:38.490571,27.12,7.83
2025-12-20T21:22:38.541598,26.81,7.78
2025-12-20T21:22:38.592725,26.32,7.64
2025-12-20T21:22:38.644697,26.02,7.54
2025-12-20T21:22:38.695549,25.61,7.35
2025-12-20T21:22:38.746571,25.14,7.14
2025-12-20T21:22:38.797736,24.86,7.01
2025-12-20T21:22:38.848774,24.47,6.82
2025-12-20T21:22:38.900136,24.2,6.7
2025-12-20T21:22:38.950925,23.78,6.49
2025-12-20T21:22:39.001599,23.52,6.37
2025-12-20T21:22:39.052587,23.16,6.21
2025-12-20T21:22:39.103663,22.86,6.07
2025-12-20T21:22:39.154475,22.52,5.91
2025-12-20T21:22:39.205287,22.28,5.8
2025-12-20T21:22:39.256199,21.91,5.61
2025-12-20T21:22:39.307546,21.59,5.46
2025-12-20T21:22:39.358468,21.37,5.35
2025-12-20T21:22:39.409953,21.06,5.19
2025-12-20T21:22:39.461557,20.85,5.09
2025-12-20T21:22:39.513285,20.52,4.94
2025-12-20T21:22:39.565792,20.32,4.85
2025-12-20T21:22:39.616924,20.04,4.72
2025-12-20T21:22:39.667914,19.73,4.57
2025-12-20T21:22:39.720226,19.54,4.48
2025-12-20T21:22:39.771737,19.29,4.35
2025-12-20T21:22:39.823278,19.11,4.27
2025-12-20T21:22:39.874285,18.83,4.14
2025-12-20T21:22:39.925757,18.66,4.06
2025-12-20T21:22:39.977125,18.42,3.96
2025-12-20T21:22:40.028231,18.16,3.84
2025-12-20T21:22:40.080279,18.0,3.76
2025-12-20T21:22:40.131321,17.78,3.65
2025-12-20T21:22:40.182308,17.63,3.58
2025-12-20T21:22:40.233326,17.4,3.48
2025-12-20T21:22:40.285622,17.26,3.41
2025-12-20T21:22:40.337085,17.06,3.33
2025-12-20T21:22:40.388249,16.84,3.24
2025-12-20T21:22:40.440683,16.7,3.19
2025-12-20T21:22:40.491775,16.52,3.12
2025-12-20T21:22:40.542653,16.39,3.08
2025-12-20T21:22:40.594324,16.18,3.01
2025-12-20T21:22:40.645653,16.06,2.97
2025-12-20T21:22:40.696599,15.88,2.91
2025-12-20T21:22:40.747809,15.69,2.84
2025-12-20T21:22:40.800480,15.57,2.81
2025-12-20T21:22:40.851724,15.4,2.74
2025-12-20T21:22:40.902776,15.29,2.7
2025-12-20T21:22:40.953588,15.11,2.64
2025-12-20T21:22:41.006251,15.0,2.6
2025-12-20T21:22:41.057467,14.84,2.55
2025-12-20T21:22:41.109105,14.67,2.49
2025-12-20T21:22:41.161293,14.57,2.45
2025-12-20T21:22:41.212564,14.4,2.39
2025-12-20T21:22:41.263855,14.3,2.35
2025-12-20T21:22:41.315612,14.16,2.29
2025-12-20T21:22:41.366482,14.07,2.26
2025-12-20T21:22:41.417415,13.94,2.21
2025-12-20T21:22:41.468188,13.79,2.16
2025-12-20T21:22:41.519457,13.7,2.13
2025-12-20T21:22:41.570435,13.58,2.08
2025-12-20T21:22:41.621183,13.49,2.05
2025-12-20T21:22:41.671944,13.35,2.0
2025-12-20T21:22:41.723186,13.27,1.97
2025-12-20T21:22:41.774565,13.15,1.93
2025-12-20T21:22:41.826739,13.05,1.9
2025-12-20T21:22:41.878304,12.94,1.86
2025-12-20T21:22:41.929409,12.83,1.82
2025-12-20T21:22:41.981600,12.75,1.79
2025-12-20T21:22:42.032883,12.63,1.74
2025-12-20T21:22:42.084274,12.56,1.71
2025-12-20T21:22:42.135415,12.46,1.67
2025-12-20T21:22:42.186865,12.38,1.65
2025-12-20T21:22:42.238350,12.27,1.6
2025-12-20T21:22:42.289435,12.17,1.57
2025-12-20T21:22:42.341415,12.11,1.54
2025-12-20T21:22:42.392358,12.0,1.5
2025-12-20T21:22:42.443608,11.94,1.47
2025-12-20T21:22:42.494653,11.85,1.43
2025-12-20T21:22:42.546387,11.79,1.4
2025-12-20T21:22:42.597516,11.69,1.37
2025-12-20T21:22:42.648230,11.6,1.33
2025-12-20T21:22:42.699448,11.55,1.3
2025-12-20T21:22:42.750228,11.46,1.26
2025-12-20T21:22:42.801727,11.41,1.24
2025-12-20T21:22:42.852482,11.33,1.2
2025-12-20T21:22:42.903576,11.28,1.18
2025-12-20T21:22:42.954894,11.2,1.15
2025-12-20T21:22:43.006978,11.15,1.14
2025-12-20T21:22:43.058702,11.08,1.11
2025-12-20T21:22:43.109852,11.01,1.08
2025-12-20T21:22:43.161805,10.96,1.07
2025-12-20T21:22:43.212670,10.89,1.04
2025-12-20T21:22:43.263875,10.84,1.02
2025-12-20T21:22:43.314989,10.78,0.99
2025-12-20T21:22:43.367092,10.73,0.97
2025-12-20T21:22:43.417963,10.67,0.94
2025-12-20T21:22:43.468858,10.6,0.92
2025-12-20T21:22:43.519964,10.56,0.9
2025-12-20T21:22:43.570792,10.5,0.87
2025-12-20T21:22:43.621943,10.47,0.86
2025-12-20T21:22:43.672957,10.4,0.84
2025-12-20T21:22:43.723843,10.37,0.82
2025-12-20T21:22:43.775115,10.32,0.81
2025-12-20T21:22:43.826891,10.28,0.81
2025-12-20T21:22:43.878092,10.22,0.81
2025-12-20T21:22:43.929818,10.17,0.81
2025-12-20T21:22:43.980699,10.14,0.81
2025-12-20T21:22:44.031311,10.08,0.81
2025-12-20T21:22:44.082501,10.05,0.81
2025-12-20T21:22:44.133397,9.99,0.81
2025-12-20T21:22:44.184722,9.97,0.82
2025-12-20T21:22:44.236404,9.91,0.82
2025-12-20T21:22:44.287527,9.88,0.82
2025-12-20T21:22:44.338796,9.83,0.82
2025-12-20T21:22:44.389957,9.77,0.83
2025-12-20T21:22:44.442552,9.74,0.83
2025-12-20T21:22:44.493553,9.69,0.84
2025-12-20T21:22:44.544323,9.66,0.85
2025-12-20T21:22:44.595521,9.6,0.85
2025-12-20T21:22:44.647264,9.56,0.85
2025-12-20T21:22:44.698486,9.51,0.85
2025-12-20T21:22:44.750216,9.45,0.86
2025-12-20T21:22:44.802353,9.42,0.86
2025-12-20T21:22:44.853266,9.37,0.87
2025-12-20T21:22:44.904241,9.33,0.87
2025-12-20T21:22:44.955361,9.27,0.87
2025-12-20T21:22:45.007458,9.24,0.87
2025-12-20T21:22:45.058198,9.18,0.87
2025-12-20T21:22:45.109153,9.13,0.87
2025-12-20T21:22:45.160465,9.09,0.88
2025-12-20T21:22:45.211209,9.04,0.88
2025-12-20T21:22:45.262166,9.01,0.88
2025-12-20T21:22:45.313070,8.95,0.88
2025-12-20T21:22:45.364314,8.91,0.89
2025-12-20T21:22:45.415242,8.86,0.89
2025-12-20T21:22:45.467286,8.83,0.89
2025-12-20T21:22:45.518673,8.77,0.9
2025-12-20T21:22:45.569678,8.72,0.9
2025-12-20T21:22:45.620904,8.68,0.9
2025-12-20T21:22:45.672543,8.62,0.91
2025-12-20T21:22:45.723684,8.59,0.91
2025-12-20T21:22:45.775190,8.54,0.91
2025-12-20T21:22:45.826464,8.5,0.91
2025-12-20T21:22:45.877218,8.44,0.91
2025-12-20T21:22:45.928159,8.41,0.92
2025-12-20T21:22:45.979266,8.35,0.92
2025-12-20T21:22:46.030008,8.29,0.92
2025-12-20T21:22:46.081113,8.26,0.93
2025-12-20T21:22:46.132498,8.2,0.93
2025-12-20T21:22:46.184017,8.17,0.93
2025-12-20T21:22:46.235359,8.11,0.93
2025-12-20T21:22:46.286375,8.07,0.93
2025-12-20T21:22:46.336886,8.02,0.94
2025-12-20T21:22:46.388473,7.98,0.94
